project_id,year,domain,model_type,dataset_size,class_imbalance_ratio,label_noise_level,missing_data_ratio,data_leakage,overfitting_score,train_val_gap,unstable_training,underfitting_flag,accuracy,precision,recall,f1_score,roc_auc,failure_type,applied_augmentation,rebalancing_method,architecture_change,threshold_optimization,post_fix_f1_score
PRJ_11,2020,fraud,DenseNet,61635,0.26239648978191304,0.2820400327373335,0.24341595918882933,1,0.17592525267734538,0.0072301454462083475,0,0,0.6135683898949863,0.6832343922914299,0.8720852615282811,0.5177638108433272,0.8523289734882452,deployment_shift,GAN,none,0,0,0.6648865615605726
PRJ_12,2018,recommender,Hybrid,40290,0.5716518836246384,0.2936678574825027,0.12168553823986378,0,0.1952429877980445,0.2889808461046021,0,0,0.8624395150874216,0.822736147953584,0.5885553397035245,0.7472803602608573,0.92916050452352,model_complexity,GAN,undersampling,1,1,0.8672960417997925
PRJ_13,2019,fraud,Transformer,35084,0.18971603556616148,0.255902836640208,0.07361222301739642,0,0.8442131407263114,0.37200673392433276,0,0,0.6540390914407701,0.8355717584120252,0.679323390648082,0.47636859071324156,0.6889572771744086,poor_generalization,MixUp,class_weight,0,0,0.5897529917444971
PRJ_14,2021,nlp,Hybrid,2868,0.1934632409568195,0.07686208307833742,0.15287842771642013,0,0.3967838272138884,0.020307412415758775,1,0,0.5326376721600962,0.7894324477537793,0.7192370615090435,0.4818599427439981,0.8352091473533197,label_noise,none,none,0,0,0.6574388257337254
PRJ_15,2024,recommender,CNN,87735,0.163627504374825,0.16112472815899662,0.08166281044901022,0,0.19438003399487302,0.16454156202267145,0,0,0.8311476015150354,0.5663727111214849,0.9847684335570794,0.7404161641420741,0.8501082864629832,deployment_shift,SMOTE,class_weight,0,0,0.9834665302202281
PRJ_16,2019,nlp,Hybrid,46675,0.5527639846710464,0.0242618899851593,0.10707861873502694,0,0.7145959227000623,0.26407895068709253,0,1,0.7753999603061466,0.8689484583478843,0.7771770262557003,0.71667092097988,0.8141022611820232,deployment_shift,MixUp,none,0,0,0.9497136665051762
PRJ_17,2022,finance,EfficientNet,95258,0.5414781386117564,0.013800792606525824,0.010182200579742534,0,0.4646738129396114,0.2599094730571054,0,1,0.842184233604403,0.9433401936490238,0.630446811670857,0.6866355546973995,0.6053565891016346,deployment_shift,none,class_weight,1,0,0.8314703205148645
PRJ_18,2020,nlp,CNN,35695,0.4998837047171624,0.2832754791375502,0.21679973338875094,0,0.811204176736003,0.3282557902975822,0,0,0.7545614389784046,0.8257423859288939,0.6033421799383727,0.5844190447760446,0.6958863945623968,data_quality,GAN,none,0,0,0.7698527132526409
PRJ_19,2022,recommender,Transformer,39013,0.3231351899858412,0.1156189862896695,0.17040341724319744,0,0.877472013527053,0.29402841752155434,0,0,0.636249827785696,0.5887197718898614,0.8753073758204292,0.5471456485503106,0.8823921587435424,poor_generalization,none,undersampling,1,0,0.6963531394089918
PRJ_20,2018,nlp,XGBoost,110948,0.528178257228614,0.25752382555290354,0.10724850684375459,0,0.8264574661077416,0.1280198404122447,1,0,0.800348427116599,0.5054188257401492,0.9526909882096318,0.6371669960038966,0.6319503368751467,poor_generalization,MixUp,oversampling,0,1,0.7077917697710832
PRJ_21,2026,computer_vision,XGBoost,1562,0.22811413360750235,0.08796323150941936,0.08216613634247899,0,0.49442030470258147,0.023023504006657716,0,0,0.7690073824308155,0.9438520913791499,0.6754575062760393,0.6061512030151635,0.640973455749662,poor_generalization,none,oversampling,0,1,0.8144670117603332
PRJ_22,2020,computer_vision,DenseNet,28795,0.1351400745356654,0.02182890190925806,0.20546501482258905,0,0.3706421470668909,0.32511982690300106,1,1,0.7824968908625984,0.8766890926294708,0.6881297927654579,0.7202945737663135,0.6292252508445341,deployment_shift,SMOTE,none,1,0,0.7872621165833519
PRJ_23,2026,computer_vision,CNN,43418,0.4122806369626251,0.0034060934302257207,0.11716516049853157,0,0.5833687650971596,0.38486901938981677,0,0,0.522521310272735,0.9342995640947301,0.6117979192597263,0.45469862283252416,0.9371278888042139,label_noise,GAN,class_weight,0,1,0.5282038721879452
PRJ_24,2022,fraud,Transformer,110633,0.29594190786358976,0.2907907606857297,0.1307744610425372,0,0.901158010490989,0.018178552136583148,0,1,0.751759455254105,0.9451318919454581,0.7278283763928565,0.5973971519064125,0.8170464092305378,label_noise,none,undersampling,0,0,0.7383053648599671
PRJ_25,2021,medical,DenseNet,36047,0.05,0.29231844229984993,0.24655268611990072,0,0.1331851252237497,0.03048015183966526,1,0,0.7792646856078981,0.7905813105904131,0.9595882759177798,0.64885023065628,0.6289619470123571,model_complexity,SMOTE,oversampling,1,0,0.7607557539135456
PRJ_26,2018,fraud,Hybrid,47040,0.33570876147226575,0.29558581519965127,0.09418474248448519,0,0.03682186763599138,0.05354084752025328,0,0,0.7998313199904288,0.8458571985844561,0.7671731375147315,0.6908829026435999,0.8624687623144901,label_noise,MixUp,oversampling,1,0,0.9067157467849027
PRJ_27,2025,medical,EfficientNet,108819,0.32253989574369807,0.06151359855195747,0.06286060987794961,0,0.26867248202530736,0.008873896812120653,0,0,0.6098927188103636,0.9156857450312506,0.6538886198855247,0.528808571459155,0.8857350073245718,deployment_shift,MixUp,oversampling,1,0,0.7544527049549935
PRJ_28,2019,nlp,Transformer,7449,0.21589001500869165,0.23540047918329285,0.1598403392435606,0,0.6366443216222826,0.22192624341689027,0,0,0.8220178670077447,0.7737231534495558,0.7254552237080523,0.6365452082062508,0.9186649474411455,class_imbalance,MixUp,none,0,0,0.8099979506257092
PRJ_29,2020,finance,XGBoost,6754,0.34414046121348757,0.23067532239461924,0.016558994462966464,0,0.12804583895777244,0.06076107740491774,0,0,0.5183445065618532,0.5909400421995724,0.6728336416619316,0.37522365389853946,0.9138759434671041,class_imbalance,none,class_weight,0,1,0.4947063355436223
PRJ_30,2019,medical,Transformer,108964,0.2371154550599766,0.08357710170958758,0.044252621069186704,0,0.6903948286293653,0.015724855936439575,0,0,0.5354810135028223,0.540879515974436,0.9367893120533886,0.46738563283773216,0.9223053401861345,model_complexity,none,none,0,0,0.6095413864442774
PRJ_31,2025,medical,XGBoost,5626,0.2850241759098167,0.11114163083741459,0.12113074629775533,0,0.8444406726336288,0.29984649280343495,0,0,0.7473019086121184,0.6770733353965628,0.6985819162520412,0.6419648626766525,0.6367042082863683,poor_generalization,MixUp,undersampling,1,0,0.7844718059032821
PRJ_32,2019,medical,Hybrid,27234,0.41879859712261586,0.06996492346494036,0.08573171606956506,0,0.7368224753949129,0.223096906380175,0,0,0.6895879765722225,0.6893863129756447,0.668723416935959,0.5863223310803267,0.9148765890007542,data_quality,none,none,0,0,0.7660868991386419
PRJ_33,2020,fraud,EfficientNet,25318,0.3216689153429584,0.25524525535084386,0.021971906135035968,0,0.6969614623664215,0.39890221390735775,1,0,0.8223459546964573,0.9586978065427658,0.5026500031988027,0.763997931292911,0.9412735070307998,class_imbalance,MixUp,class_weight,0,1,0.9824607383525474
PRJ_34,2021,computer_vision,EfficientNet,37476,0.0879895733242286,0.2515747676107874,0.051269390037364776,0,0.7072300956444445,0.30711180057713555,0,0,0.8871976266016937,0.966007171128467,0.6603210960797572,0.7305547547761814,0.8078590841452645,model_complexity,none,class_weight,0,0,0.8204561402438453
PRJ_35,2023,fraud,Transformer,27114,0.6977840018340009,0.026360433372797042,0.034706193360505094,0,0.10669925011343606,0.3402909840065819,0,0,0.5010843597657318,0.9664690335499773,0.9954647382286953,0.43357995014447964,0.671750633518633,deployment_shift,GAN,oversampling,0,1,0.5782131903548581
PRJ_36,2026,finance,DenseNet,14560,0.25097025565793285,0.24753980300783915,0.046601246697036025,0,0.6829820634171324,0.1807794405196157,0,0,0.594276698426,0.8120507720909188,0.7698905309573165,0.44921291386797335,0.7535606363859186,data_quality,none,oversampling,0,0,0.6807861399604765
PRJ_37,2021,nlp,XGBoost,81410,0.45856137328401547,0.16285479318402266,0.10788203578411065,0,0.49542362640396564,0.2965843644556182,0,1,0.6331263143649937,0.8762015600194113,0.8534902306217296,0.47354394384359844,0.8725001786677629,label_noise,GAN,none,0,0,0.6622874653242661
PRJ_38,2025,computer_vision,CNN,65272,0.15910373964491756,0.1609444054453784,0.09470539138922893,0,0.4089551770854932,0.3087527922392981,0,0,0.6828000877126713,0.7827541736614869,0.8580895373664761,0.5422064069017944,0.8096602776720643,model_complexity,none,undersampling,1,1,0.6926640763943005
PRJ_39,2025,nlp,Transformer,99631,0.29623695075542866,0.18448507894579633,0.22796310221074118,0,0.10221266422519959,0.36750020890429863,0,0,0.5556464776572247,0.825683605494123,0.8856233342598689,0.49052728720484173,0.7310523794021477,model_complexity,none,none,0,0,0.5917303935755742
PRJ_40,2022,finance,Hybrid,12194,0.09254125883390261,0.055896263848236205,0.20937269725062302,0,0.3351972416459009,0.3211413794392046,0,0,0.6328585650619756,0.6990843467954717,0.7686978014689614,0.5361419254551294,0.9219494657444661,label_noise,MixUp,oversampling,0,0,0.6316210496305519
PRJ_41,2018,medical,Transformer,37648,0.3482930283118147,0.04225710611393996,0.04409674662655583,0,0.6322642879195304,0.005237782635333455,0,0,0.6993471090957919,0.9805351587347275,0.5743313638765565,0.5865082916701096,0.7451184433044583,model_complexity,none,oversampling,0,1,0.8194774718837297
PRJ_42,2025,nlp,Hybrid,89606,0.28752919355956785,0.06297167792867572,0.22451357236017844,0,0.7755276166950106,0.18131553389921107,0,0,0.5820558561928029,0.700381530437663,0.7798201656541089,0.5034526980932529,0.6543340860757494,poor_generalization,MixUp,oversampling,0,1,0.5607626316628719
PRJ_43,2018,nlp,CNN,111404,0.4547284259509187,0.12262025132942891,0.006346588915086215,0,0.2310747965880714,0.2687570974394914,0,0,0.5624610389464761,0.8999580426865947,0.5892723310271668,0.4050652046193665,0.8284611377481561,label_noise,GAN,oversampling,0,0,0.5868499930013968
PRJ_44,2024,computer_vision,XGBoost,4925,0.11769429454986652,0.11915505888553644,0.16702128414266154,0,0.20788625514602732,0.010612881549527886,0,0,0.5819937181663284,0.7107122752962489,0.9463358555384874,0.4880215586271764,0.8861052466084542,deployment_shift,GAN,undersampling,0,0,0.7172887223314004
PRJ_45,2023,nlp,CNN,18271,0.5300217659865064,0.12282349565737212,0.13801179521299506,0,0.8684679758979128,0.19497247929980546,1,0,0.6744506116541267,0.7126067522346167,0.5112346541600588,0.580280747722839,0.6940370757847311,poor_generalization,GAN,oversampling,0,1,0.8199714091152703
PRJ_46,2022,fraud,Transformer,92701,0.33814528932449633,0.15770705469080573,0.042919821462075874,0,0.274055220687206,0.22167120100631738,0,0,0.6089229306077476,0.6032106358803015,0.5054979143292402,0.5561643291256276,0.6479099705240825,data_quality,none,oversampling,1,1,0.7890240904377275
PRJ_47,2023,medical,EfficientNet,116574,0.13449521432839104,0.27432358377748794,0.10469263122301828,0,0.09033696057760787,0.3083943702141914,0,0,0.653255411299799,0.7185966981786218,0.957756838645957,0.5254177555073734,0.8525365013926669,deployment_shift,none,undersampling,0,1,0.5848109488623844
PRJ_48,2026,computer_vision,DenseNet,33421,0.6492067603065854,0.04860416336747538,0.21038241507751085,0,0.3443837320442332,0.14061606445368754,0,0,0.8385631397258229,0.7991430291340773,0.7298407563805656,0.645277692817301,0.6265766936293677,class_imbalance,none,undersampling,0,0,0.7262121209939483
PRJ_49,2020,finance,EfficientNet,71931,0.17480975204995536,0.23700406763755683,0.17264005811141014,0,0.7590358455388498,0.28964133170925543,0,1,0.7085202669654278,0.9516819063180124,0.8233324595585817,0.6455144851861002,0.8426113240099236,label_noise,SMOTE,undersampling,0,1,0.8871486437868863
PRJ_50,2019,nlp,XGBoost,36562,0.29191483352925085,0.03615677363593933,0.1827559178645704,0,0.8445493985350704,0.12764018929730225,0,0,0.5770396111142522,0.7981349392410265,0.6150044186438515,0.5097473079271595,0.6421984100220476,deployment_shift,SMOTE,oversampling,0,1,0.644099839873262
PRJ_51,2019,recommender,DenseNet,74538,0.654147072666518,0.16184738771260115,0.19768079120974089,0,0.9903413133417771,9.50094303538318e-05,0,0,0.6275010011728279,0.9662949547126265,0.5350148528737355,0.48361729470727655,0.6033199017699743,class_imbalance,GAN,oversampling,0,0,0.710812844354514
PRJ_52,2018,fraud,XGBoost,2550,0.1258626828984472,0.11948621519269066,0.022924833777857534,0,0.2970028764548822,0.3411287286767606,0,0,0.6345481855313688,0.6386328228483868,0.9551695510287672,0.5061703067861903,0.6157852370271131,deployment_shift,MixUp,undersampling,0,0,0.7026246682231194
PRJ_53,2021,computer_vision,Hybrid,55342,0.13811144877920126,0.2652596934394509,0.1501996116105495,0,0.8378257352832454,0.09222767832200761,0,0,0.8614895868701082,0.5234726785739066,0.6920453057456248,0.6631118503981044,0.6128561780993147,deployment_shift,GAN,none,1,1,0.8617824149768292
PRJ_54,2018,fraud,CNN,113355,0.130302734512962,0.1791822217291023,0.13125787521506704,0,0.4633807482156199,0.24917495317404748,0,0,0.6040933471806109,0.94746072061392,0.9300634082089618,0.476806158533402,0.7601012342207976,model_complexity,none,class_weight,0,0,0.6250434267071273
PRJ_55,2019,nlp,DenseNet,95161,0.3578761366164995,0.22056379635703582,0.07034774014438169,1,0.10946886005445389,0.357791972387227,1,0,0.601059637584354,0.9414531345687307,0.7580395102218083,0.55029731661165,0.917279801805603,model_complexity,SMOTE,none,0,1,0.7394401751816001
PRJ_56,2026,nlp,CNN,26792,0.20386193640965278,0.26044824121546406,0.06132138306383364,0,0.6186113782151843,0.3010866558230565,0,0,0.5629362638810104,0.935921763872616,0.5146236415172796,0.48887624808149954,0.8890358626976669,class_imbalance,SMOTE,none,0,0,0.6056780238305471
PRJ_57,2018,medical,Transformer,32466,0.3234084099678833,0.15224032012825087,0.001596467929208395,0,0.009072404652724964,0.32747176819993673,0,0,0.6148152532699651,0.5092138593691087,0.7161203919462562,0.47227621551360377,0.8940425259594265,class_imbalance,none,none,0,0,0.7185134511190885
PRJ_58,2023,fraud,CNN,21453,0.25312013482746726,0.2841893664769014,0.041594396733068084,0,0.8524146591986477,0.39605934910025886,0,0,0.8083937170128542,0.8237868217009539,0.7971979296142726,0.6521079163224598,0.7342642911419676,data_quality,MixUp,class_weight,0,1,0.7968226940094775
PRJ_59,2024,fraud,DenseNet,101648,0.4022789944172834,0.047681484983026955,0.11713485419214609,0,0.2207696127887604,0.03295241824633708,0,0,0.877721453983132,0.6366297634991047,0.9754317811252051,0.8123924110290741,0.6528702621233151,data_quality,none,none,0,1,1.0
PRJ_60,2018,medical,DenseNet,107788,0.5297256734358687,0.29519329438794845,0.10233350157876075,0,0.5627502863433826,0.1886129840410051,0,0,0.8576396814716538,0.6018506246381371,0.5455822452030958,0.7731464905879909,0.6537803133563894,label_noise,none,oversampling,0,0,0.8657674313930076
PRJ_61,2021,nlp,DenseNet,35031,0.5884640646297697,0.2902533790841333,0.046364718669163585,0,0.22554014244373544,0.06433018763127603,0,0,0.6848389163062643,0.7951319694428112,0.7166233744858278,0.6346541410313004,0.9445229925910164,data_quality,SMOTE,none,0,0,0.8043195940557857
PRJ_62,2020,finance,Transformer,46667,0.37102787055218395,0.19709515726934793,0.18926481690280583,0,0.10279240449266569,0.22836180073766574,0,0,0.8810594552154869,0.6051747899594343,0.6730082838224198,0.6948866572677909,0.8715316575275346,class_imbalance,SMOTE,oversampling,1,0,0.8897437188930732
PRJ_63,2018,computer_vision,Hybrid,51547,0.2973967157650095,0.2932399158944357,0.05021477246557354,0,0.7064757264869012,0.012634457930256816,1,0,0.7772775763290725,0.7706481676505352,0.8545302597254583,0.6040614671275925,0.9048391933111299,data_quality,MixUp,none,1,1,0.6622981661834468
PRJ_64,2023,fraud,Transformer,73215,0.4140531588132459,0.13569548535549003,0.16089442379913124,0,0.15954468011318834,0.3487134266368807,0,1,0.7105610643744453,0.6684478958855534,0.5910589578443497,0.5508226361111455,0.8763944774998677,poor_generalization,MixUp,oversampling,0,0,0.6171486325172634
PRJ_65,2018,medical,Transformer,30527,0.5237374850232481,0.29243794864403494,0.16258142158673422,0,0.9607805514869769,0.16636294645877633,0,0,0.5798169803716581,0.8676751493328763,0.8838619440333901,0.42778274400696437,0.7766957086625562,deployment_shift,MixUp,class_weight,0,0,0.4922224258027995
PRJ_66,2020,fraud,Transformer,48864,0.3875038689766924,0.1793170695767593,0.1982390236514079,0,0.8359980637812094,0.09431683758368395,0,0,0.7620037355328435,0.8009276918310042,0.816270266613153,0.5631837380817426,0.7304970230161271,model_complexity,MixUp,none,0,0,0.6699546438034716
PRJ_67,2026,recommender,EfficientNet,92652,0.2914573664614459,0.17787551994953454,0.1448537248358752,0,0.8579862539227058,0.0036121616518201005,0,0,0.7650485116033281,0.698329888171781,0.6185139285541681,0.7007592854101341,0.6821359133915429,deployment_shift,none,oversampling,1,0,0.8811839345162217
PRJ_68,2026,recommender,Transformer,36446,0.12684008482648942,0.13483015056412131,0.14697109277759673,0,0.6638045276218051,0.18985235029992556,0,0,0.8794333419405735,0.792677182198376,0.9341356402566293,0.7915541746292607,0.6720444235128689,poor_generalization,MixUp,oversampling,0,0,0.9134043242125098
PRJ_69,2021,computer_vision,CNN,117928,0.13650325314506756,0.03663297420300804,0.11304975707085882,0,0.6859677359829841,0.006951916074191856,0,1,0.8735500070111619,0.7900561148477341,0.6271122899487467,0.7761265912646493,0.7826055163226746,poor_generalization,SMOTE,class_weight,0,0,0.9275735530023278
PRJ_70,2019,computer_vision,Transformer,48820,0.2652096062811321,0.05650472512968043,0.1827073687177191,0,0.9446142194740232,0.2732992113158583,0,0,0.5624655379168696,0.9344524922393591,0.7853048733194148,0.4772813439166453,0.6106354708938929,label_noise,GAN,class_weight,1,1,0.7199507104807251
PRJ_71,2026,fraud,DenseNet,61076,0.22800132991000988,0.19536989311244762,0.02664825757699768,0,0.8707534503372591,0.3129541936233094,0,0,0.7631381218412144,0.9392577806506739,0.7020701608255164,0.5632260629756145,0.7144616065471335,class_imbalance,MixUp,oversampling,0,1,0.6228684707477257
PRJ_72,2024,medical,Hybrid,100994,0.12588909842200813,0.03606271661118253,0.13612227449021239,0,0.38855810127034573,0.17947744904901228,0,0,0.5023034641992487,0.6136348136315757,0.5365979618842218,0.4036155897142081,0.8112070076834822,class_imbalance,SMOTE,class_weight,0,1,0.5269078966884877
PRJ_73,2022,recommender,Transformer,28098,0.3679716024560962,0.14375456328891928,0.006410516451608922,0,0.6079050927934446,0.30595330461685133,0,0,0.6364991310504625,0.9777618479774673,0.5091162913381808,0.529469788232584,0.6685222949892411,label_noise,GAN,oversampling,0,1,0.659234344411964
PRJ_74,2021,computer_vision,Transformer,93153,0.20746630175600647,0.2803308080416543,0.0879056718099086,0,0.8030258978326634,0.2156645106701018,0,0,0.5405683313796866,0.8580753371115968,0.6363120003667668,0.41768756750173774,0.744742185533873,poor_generalization,SMOTE,oversampling,0,0,0.5190428810458394
PRJ_75,2024,medical,EfficientNet,59689,0.24473605791213962,0.03206307692842315,0.1418280549072259,0,0.043412532854819164,0.25326055023760896,1,0,0.6026251134805455,0.9095944297133951,0.942103231674204,0.4081860821949085,0.6798279201821263,deployment_shift,MixUp,none,0,1,0.5548952115388934
PRJ_76,2021,recommender,Transformer,65981,0.16015094058566418,0.08244181066444083,0.2056535796284196,0,0.5866084631754741,0.06720568309794538,0,0,0.6694953014595051,0.6083699000453878,0.5478572777600809,0.5193628165657845,0.6082735051162177,label_noise,none,none,0,1,0.5884698793327182
PRJ_77,2023,finance,Hybrid,89200,0.2056859728936188,0.14903005765775082,0.24694638005372183,0,0.6924361513243696,0.39650239748087535,0,0,0.5545759010226933,0.8621694085643705,0.7891934585032045,0.4003042179155542,0.695956233295932,label_noise,SMOTE,class_weight,0,0,0.5311679715364126
PRJ_78,2022,medical,Transformer,57049,0.11335873578080709,0.10649889174958119,0.017355960686523342,0,0.6801319311034514,0.09233167566160483,0,0,0.7076239163633081,0.5261694378932542,0.6892382117429345,0.6474820318244758,0.7270304951460972,data_quality,none,oversampling,1,0,0.8575533333889482
PRJ_79,2024,nlp,Hybrid,69119,0.17761122579012523,0.19048801367730994,0.18870945498521194,0,0.664911724487218,0.3181799843158917,1,0,0.568191175269567,0.699657957904654,0.5762080066652087,0.45676949731878635,0.9473692257554314,data_quality,MixUp,class_weight,1,0,0.5913073199980243
PRJ_80,2021,recommender,DenseNet,119764,0.13884941707545342,0.22658112614904236,0.031928370908808706,0,0.34167450189692083,0.1523638102043949,0,0,0.8304270521010113,0.754862123375849,0.9126430541164484,0.6631228389504534,0.6978962384650177,poor_generalization,none,oversampling,1,1,0.8548717784990487
PRJ_81,2025,computer_vision,DenseNet,45533,0.2882372888530313,0.11731282891745232,0.12528824979550243,0,0.8059254001176211,0.3160121745228246,0,0,0.6588715109716844,0.7014900893825807,0.5867622574932543,0.5279116181576929,0.8432328811158616,poor_generalization,MixUp,class_weight,0,1,0.7035016287122201
PRJ_82,2020,recommender,EfficientNet,35798,0.5008372278180047,0.2768271571540183,0.12176547970473398,0,0.1463739921622491,0.14701376891661258,0,0,0.7425011751003909,0.5675831445774113,0.9815575557945869,0.5777797049649416,0.7923353375632559,deployment_shift,none,oversampling,1,0,0.6627474304170241
PRJ_83,2020,medical,DenseNet,79864,0.7088145516405752,0.19224789440706186,0.0540095456273999,0,0.4598004237693202,0.02326551820219032,1,0,0.7478351819591318,0.8475176144292766,0.9918394626317069,0.6003050180994087,0.6837130364755739,class_imbalance,MixUp,oversampling,0,0,0.6807099887251383
PRJ_84,2021,recommender,Hybrid,99223,0.2793914970216896,0.1528266384449369,0.2491742134632442,0,0.4260833838903715,0.05228415069607979,1,0,0.8255881078024075,0.5973112559103826,0.6838796754386448,0.6833051920677559,0.7449454133851244,deployment_shift,SMOTE,none,1,1,0.7945559162250782
PRJ_85,2018,recommender,EfficientNet,60928,0.1756025803502318,0.005757683046917005,0.06495330218625855,0,0.24120145759954148,0.3903495019640215,0,1,0.804115929248854,0.7439270219631813,0.5548680993387518,0.7335494733895042,0.7917858211407924,data_quality,SMOTE,undersampling,0,1,0.8906114996800225
PRJ_86,2022,finance,EfficientNet,64541,0.3641469758430319,0.2212071232163399,0.11900453234219163,0,0.9553346865039283,0.31476135450211806,0,0,0.6503553140583077,0.718801562027696,0.6273353110230255,0.5411838722728024,0.8943050527990728,poor_generalization,MixUp,class_weight,0,1,0.6830732259539998
PRJ_87,2018,finance,Hybrid,23114,0.16089076828787546,0.1910009046501622,0.15348339619001544,0,0.041672900602384266,0.03391680641832129,0,0,0.526660816224276,0.5356283638826294,0.5060542376174437,0.3988996129324953,0.9347754894048179,data_quality,SMOTE,oversampling,1,0,0.47893341309590365
PRJ_88,2023,finance,Transformer,28770,0.32713706818814375,0.05555867036024038,0.04352733383352109,0,0.9678600348450305,0.11817791099096811,0,0,0.5393582598853589,0.690969819826448,0.6028436310977776,0.3903128519301582,0.6424852463557922,data_quality,none,undersampling,0,1,0.5931873843745055
PRJ_89,2019,computer_vision,DenseNet,58366,0.21345597461115812,0.23961425749637236,0.07320550917524118,0,0.11080796217980704,0.23941263027374626,0,0,0.8919881317435403,0.775045970229078,0.6943263993149236,0.751705893298092,0.6572893305128555,class_imbalance,GAN,oversampling,0,1,0.9181904249395413
PRJ_90,2022,fraud,XGBoost,28544,0.2999400271280434,0.20143648046839296,0.07923061933623624,0,0.9783972788005959,0.299276762391599,0,0,0.8517074639991353,0.5269291034990131,0.6600299162604917,0.7629427209553626,0.8636155675696909,class_imbalance,SMOTE,class_weight,0,0,0.921746036791913
PRJ_91,2022,finance,CNN,67760,0.2355336835287802,0.28953892263809894,0.1220985325162349,0,0.611940505337331,0.04237228502339718,0,0,0.5602704430839509,0.788586391643775,0.9385692207557019,0.45891289767891896,0.7518301792891701,poor_generalization,SMOTE,class_weight,0,0,0.5915961875379713
PRJ_92,2024,recommender,Hybrid,80078,0.1357849728530034,0.05818616018033246,0.21995412148548468,0,0.3553845686857394,0.3135167137941589,0,0,0.7630241251112093,0.8804953800140469,0.5176556774701195,0.6663847856100762,0.8610068239559312,model_complexity,MixUp,oversampling,0,1,0.864854395724578
PRJ_93,2025,recommender,Hybrid,67049,0.4172195295199302,0.26299522854846014,0.24908358440681183,0,0.39152569817782934,0.1650487363394495,0,0,0.6473238122027394,0.8097946687299203,0.6777465052206787,0.530032217559558,0.8779690659469794,class_imbalance,MixUp,oversampling,0,0,0.7244464052001054
PRJ_94,2020,recommender,CNN,110884,0.24677022835464635,0.16844537638785712,0.14016502360404273,0,0.14899973614924344,0.2781662593312213,0,1,0.7413950666385819,0.6049209974282047,0.9125653338330576,0.5899248760546276,0.782103801921529,deployment_shift,SMOTE,oversampling,0,0,0.8009226759907816
