Region,SubRegion,Country,DrugGroup,DrugSubGroup,DrugName,Reference year,Kilograms,msCode
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2021,30.3,KEN
Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2022,10.84,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2022,8474.41,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2022,2534.4,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2022,10.99,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2022,38.94,KEN
Africa,East Africa,Kenya,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2022,0.005,KEN
Africa,East Africa,Kenya,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2023,2.2,KEN
Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,8.7,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,25840.4,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,35.3,KEN
Africa,East Africa,Kenya,NPS,Ketamine and phencyclidine-type substances,Ketamine and phencyclidine-type substances,2023,1270.1,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2023,32.9,KEN
Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2019,1,KEN
Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2019,0,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2019,1,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2019,3773,KEN
Africa,East Africa,Kenya,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2019,13,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2019,6,KEN
Africa,East Africa,Kenya,Cocaine-type,Cocaine,Cocaine hydrochloride,2019,0,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2019,41,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2019,0,KEN
Africa,East Africa,Kenya,Opioids,Opiates,Heroin,2019,1,KEN
Africa,East Africa,Kenya,Opioids,Pharmaceutical opioids,Pharmaceutical opioids,2019,4,KEN
Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2022,0.03487,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2022,29492.73,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2022,377311.9,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2022,295.7,MDG
Africa,East Africa,Madagascar,Cocaine-type,Cocaine,"""Crack"" cocaine",2022,0.001,MDG
Africa,East Africa,Madagascar,Cocaine-type,Cocaine,Cocaine hydrochloride,2022,3.60924,MDG
Africa,East Africa,Madagascar,Opioids,Opiates,Heroin,2022,0.02315,MDG
Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,Amphetamine,2023,0.00025,MDG
Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,Amphetamine,2023,0.03,MDG
Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,0.00025,MDG
Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,0.512,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,13448.88,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2023,494.9,MDG
Africa,East Africa,Madagascar,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2023,67.272,MDG
Africa,East Africa,Madagascar,Opioids,Opiates,Heroin,2023,0.00003,MDG
Africa,East Africa,Madagascar,Opioids,Opiates,Heroin,2023,0.43339,MDG
Africa,East Africa,Mauritius,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2020,0.00813,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2020,0.05627,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2020,72.634201,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2020,6271.2,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2020,3.0872,MUS
Africa,East Africa,Mauritius,Cocaine-type,Cocaine,Cocaine hydrochloride,2020,0.47242,MUS
Africa,East Africa,Mauritius,Hallucinogens,LSD,Lysergic acid diethylamide (LSD),2020,0.00000095,MUS
Africa,East Africa,Mauritius,Opioids,Opiates,Heroin,2020,22.815235,MUS
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,Buprenorphine,2020,0.0068,MUS
Africa,East Africa,Mauritius,Sedatives and tranquillizers,Reported total sedatives and tranquillizers,"Total sedatives and tranquillizers (including the above, all other sedatives and tranquillizers, and any unspecified/undistinguished quantities of sedatives and tranquillizers)",2020,0.13977,MUS
Africa,East Africa,Mauritius,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2021,0.000542,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2021,0.00119,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2021,189.333812,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2021,5005.8,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2021,41.65686,MUS
Africa,East Africa,Mauritius,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,0.8,MUS
Africa,East Africa,Mauritius,Hallucinogens,Reported total hallucinogens,"Total hallucinogens (including the above, all other hallucinogens, and any unspecified/undistinguished quantities of hallucinogens)",2021,0.0057,MUS
Africa,East Africa,Mauritius,NPS,Synthetic cannabinoids (Spice),Synthetic cannabinoids (“Spice”),2021,12.689513,MUS
Africa,East Africa,Mauritius,Opioids,Opiates,Heroin,2021,297.563309,MUS
Africa,East Africa,Mauritius,Sedatives and tranquillizers,Reported total sedatives and tranquillizers,"Total sedatives and tranquillizers (including the above, all other sedatives and tranquillizers, and any unspecified/undistinguished quantities of sedatives and tranquillizers)",2021,0.05102,MUS
Africa,East Africa,Mauritius,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2022,0.000542,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2022,0.3089,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2022,143.15734,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2022,5572.6,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2022,51.43957,MUS
Africa,East Africa,Mauritius,Cocaine-type,Cocaine,Cocaine hydrochloride,2022,0.06432,MUS
Africa,East Africa,Mauritius,Hallucinogens,LSD,Lysergic acid diethylamide (LSD),2022,0.0000035,MUS
Africa,East Africa,Mauritius,Opioids,Opiates,Heroin,2022,54.77668,MUS
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,Buprenorphine,2022,0.03375,MUS
Africa,East Africa,Mauritius,Sedatives and tranquillizers,Reported total sedatives and tranquillizers,"Total sedatives and tranquillizers (including the above, all other sedatives and tranquillizers, and any unspecified/undistinguished quantities of sedatives and tranquillizers)",2022,3.07566,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,0.1062,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Other stimulants,Cathinone,2023,0.01003,MUS
Africa,East Africa,Mauritius,Amphetamine-type stimulants (excluding “ecstasy”),Other stimulants,"Mephedrone (4-methylmethcathinone, 4-MMC)",2023,0.00025,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,211959.2,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2023,5441.9,MUS
Africa,East Africa,Mauritius,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2023,2580.16,MUS
Africa,East Africa,Mauritius,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,2.10291,MUS
Africa,East Africa,Mauritius,Hallucinogens,LSD,Lysergic acid diethylamide (LSD),2023,0.00000035,MUS
Africa,East Africa,Mauritius,Opioids,Opiates,Heroin,2023,36.99551,MUS
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,Buprenorphine,2023,0.00185,MUS
Africa,East Africa,Mauritius,Opioids,Pharmaceutical opioids,Methadone,2023,0.01,MUS
Africa,East Africa,Mauritius,Sedatives and tranquillizers,Reported total sedatives and tranquillizers,"Total sedatives and tranquillizers (including the above, all other sedatives and tranquillizers, and any unspecified/undistinguished quantities of sedatives and tranquillizers)",2023,0.09639,MUS
Africa,East Africa,Seychelles,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,5.89,SYC
Africa,East Africa,Seychelles,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2023,0.027,SYC
Africa,East Africa,Uganda,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,1,UGA
Africa,East Africa,Uganda,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,8.5,UGA
Africa,East Africa,Uganda,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,24.23298,UGA
Africa,East Africa,Uganda,Opioids,Opiates,Heroin,2023,9.33785,UGA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2020,10930,TZA
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine,Cocaine hydrochloride,2020,4.52,TZA
Africa,East Africa,United Republic of Tanzania,NPS,Plant-based NPS,Khat,2020,11800,TZA
Africa,East Africa,United Republic of Tanzania,Opioids,Opiates,Heroin,2020,349.81,TZA
Africa,East Africa,United Republic of Tanzania,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2021,430.77,TZA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2021,22740,TZA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2021,22740,TZA
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,0.811,TZA
Africa,East Africa,United Republic of Tanzania,NPS,Plant-based NPS,Khat,2021,10930,TZA
Africa,East Africa,United Republic of Tanzania,Opioids,Opiates,Heroin,2021,1130,TZA
Africa,East Africa,United Republic of Tanzania,Precursors,Non-specified precursors,Non-specified precursors,2021,3655970,TZA
Africa,East Africa,United Republic of Tanzania,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2022,0.97,TZA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2022,20580,TZA
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine,Cocaine hydrochloride,2022,1.73,TZA
Africa,East Africa,United Republic of Tanzania,Hallucinogens,Reported total hallucinogens,"Total hallucinogens (including the above, all other hallucinogens, and any unspecified/undistinguished quantities of hallucinogens)",2022,0.056,TZA
Africa,East Africa,United Republic of Tanzania,Opioids,Opiates,Heroin,2022,254.71,TZA
Africa,East Africa,United Republic of Tanzania,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2023,2410.82,TZA
Africa,East Africa,United Republic of Tanzania,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2023,1.96,TZA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,1757.56,TZA
Africa,East Africa,United Republic of Tanzania,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2023,12550,TZA
Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,3.04,TZA
Africa,East Africa,United Republic of Tanzania,NPS,Plant-based NPS,Khat,2023,202740,TZA
Africa,East Africa,United Republic of Tanzania,Opioids,Opiates,Heroin,2023,1314.28,TZA
Africa,East Africa,United Republic of Tanzania,Precursors,Non-specified precursors,Other precursors,2023,22673.9,TZA
Africa,North Africa,Algeria,“Ecstasy”-type substances,"Reported total ""ecstasy""-type substances","Total ""ecstasy""-type substances (including the above, all other substances of this type and any unspecified/undistinguished quantities of substances of this type)",2020,120.122647,DZA
Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),"Reported total ATS (excluding ""ecstasy"")","Total amphetamine-type stimulants (ATS) (including the above, all other ATS, and any unspecified/undistinguished quantities of ATS)",2020,1511.32225,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2020,1.925,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2020,16.496,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2020,741,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2020,88702.581,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2020,4.547,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,Cocaine hydrochloride,2020,32.353,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Heroin,2020,2.372,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Opium,2020,0.012,DZA
Africa,North Africa,Algeria,Opioids,Pharmaceutical opioids,Tramadol,2020,36.55625,DZA
Africa,North Africa,Algeria,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2020,0.31469,DZA
Africa,North Africa,Algeria,“Ecstasy”-type substances,"Reported total ""ecstasy""-type substances","Total ""ecstasy""-type substances (including the above, all other substances of this type and any unspecified/undistinguished quantities of substances of this type)",2021,36.926189,DZA
Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),"Reported total ATS (excluding ""ecstasy"")","Total amphetamine-type stimulants (ATS) (including the above, all other ATS, and any unspecified/undistinguished quantities of ATS)",2021,1316.9235,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2021,1.52,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2021,0,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2021,8.66,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2021,42.9,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2021,71439.42,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2021,1.04316,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,"""Crack"" cocaine",2021,0.004,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,512.96506,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Heroin,2021,1.876892,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Poppy plants,2021,8.3,DZA
Africa,North Africa,Algeria,Opioids,Opiates,"Poppy straw (seed heads, pods or capsules)",2021,0.7898,DZA
Africa,North Africa,Algeria,Opioids,Pharmaceutical opioids,Buprenorphine,2021,2,DZA
Africa,North Africa,Algeria,Opioids,Pharmaceutical opioids,Tramadol,2021,1.26115,DZA
Africa,North Africa,Algeria,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2021,0.10688,DZA
Africa,North Africa,Algeria,“Ecstasy”-type substances,"Reported total ""ecstasy""-type substances","Total ""ecstasy""-type substances (including the above, all other substances of this type and any unspecified/undistinguished quantities of substances of this type)",2022,91.857076,DZA
Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),"Reported total ATS (excluding ""ecstasy"")","Total amphetamine-type stimulants (ATS) (including the above, all other ATS, and any unspecified/undistinguished quantities of ATS)",2022,2742.59025,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2022,5.25011,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis oil,Cannabis oil,2022,0.005,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2022,248.5,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2022,58258.031,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2022,0.935713,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,"""Crack"" cocaine",2022,0.03695,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,Cocaine hydrochloride,2022,61.844897,DZA
Africa,North Africa,Algeria,Cocaine-type,Other coca/cocaine-type drugs,Other coca/cocaine-type drugs,2022,1.62,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Heroin,2022,8.591957,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Poppy plants,2022,19.1,DZA
Africa,North Africa,Algeria,Opioids,Opiates,"Poppy straw (seed heads, pods or capsules)",2022,0.1263,DZA
Africa,North Africa,Algeria,Opioids,Pharmaceutical opioids,Tramadol,2022,1.8623,DZA
Africa,North Africa,Algeria,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2022,0.0525,DZA
Africa,North Africa,Algeria,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2023,447.405553,DZA
Africa,North Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),"Reported total ATS (excluding ""ecstasy"")","Total amphetamine-type stimulants (ATS) (including the above, all other ATS, and any unspecified/undistinguished quantities of ATS)",2023,4050.329,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Other drugs/substances,2023,1.02,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2023,25.87696,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2023,674.6,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2023,44536.099,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2023,2.085552,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,"""Crack"" cocaine",2023,0.0064,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,Cocaine hydrochloride,2023,256.393138,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Heroin,2023,3.666171,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Poppy plants,2023,42.7,DZA
Africa,North Africa,Algeria,Opioids,Opiates,"Poppy straw (seed heads, pods or capsules)",2023,0.46166,DZA
Africa,North Africa,Algeria,Opioids,Pharmaceutical opioids,Tramadol,2023,4.8644,DZA
Africa,North Africa,Algeria,Sedatives and tranquillizers,Benzodiazepines,Diazepam,2023,0.12124,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Psychotropic substances,2019,,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Psychotropic substances,2019,0,DZA
Africa,North Africa,Algeria,Any other drugs/substances,Other miscellaneous,Psychotropic substances,2019,21,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2019,158,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2019,55133,DZA
Africa,North Africa,Algeria,Cocaine-type,Cocaine,Cocaine hydrochloride,2019,316,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Poppy plants,2019,88,DZA
Africa,North Africa,Algeria,Opioids,Other illicit opioids,Other illicit opioids,2019,0,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2019,8,DZA
Africa,North Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2019,1,DZA
Africa,North Africa,Algeria,Opioids,Opiates,Heroin,2019,0,DZA
Africa,North Africa,Egypt,“Ecstasy”-type substances,“Ecstasy”-type substances,"3,4-methylenedioxymethamphetamine (MDMA)",2020,0.592,EGY
Africa,North Africa,Egypt,“Ecstasy”-type substances,"Reported total ""ecstasy""-type substances","Total ""ecstasy""-type substances (including the above, all other substances of this type and any unspecified/undistinguished quantities of substances of this type)",2020,5.675553,EGY
Africa,North Africa,Egypt,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,"""Captagon""",2020,3664.54375,EGY
Africa,North Africa,Egypt,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,Amphetamine,2020,100,EGY
Africa,North Africa,Egypt,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,Methamphetamine,2020,78,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2020,487333,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2020,44416,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2020,10897,EGY
Africa,North Africa,Egypt,Cocaine-type,Cocaine,Cocaine hydrochloride,2020,4,EGY
Africa,North Africa,Egypt,Hallucinogens,LSD,Lysergic acid diethylamide (LSD),2020,0.000106,EGY
Africa,North Africa,Egypt,Hallucinogens,Other Hallucinogens,Dimethyltryptamine (DMT),2020,0.002,EGY
Africa,North Africa,Egypt,Opioids,Opiates,Heroin,2020,1282,EGY
Africa,North Africa,Egypt,Opioids,Opiates,Opium,2020,259,EGY
Africa,North Africa,Egypt,Opioids,Pharmaceutical opioids,Tramadol,2020,686.68515,EGY
Africa,North Africa,Egypt,Amphetamine-type stimulants (excluding “ecstasy”),Amphetamine,"""Captagon""",2021,453.248,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),Cannabis herb (marijuana),2021,466615.03,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,Cannabis plants,2021,,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),Cannabis resin (hashish),2021,28062.09,EGY
Africa,North Africa,Egypt,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis seed,Cannabis seed,2021,4369,EGY
Africa,North Africa,Egypt,Cocaine-type,Cocaine,Cocaine hydrochloride,2021,5.08,EGY
Africa,North Africa,Egypt,Opioids,Opiates,Heroin,2021,2148.5,EGY
Africa,North Africa,Egypt,Opioids,Opiates,Opium,2021,172.3,EGY
Africa,North Africa,Egypt,Opioids,Opiates,Poppy plants,2021,,EGY
Africa,North Africa,Egypt,Opioids,Opiates,"Poppy straw (seed heads, pods or capsules)",2021,3626.5,EGY
